;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 2/17/2020 9:28:40 PM
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0x2803      	GOTO       3
_main:
0x0003	0x1283      	BCF        STATUS, 5
0x0004	0x018C      	CLRF       _s
0x0005	0x3041      	MOVLW      65
0x0006	0x008D      	MOVWF      ?lstr1_Arithmetic
0x0007	0x3052      	MOVLW      82
0x0008	0x008E      	MOVWF      14
0x0009	0x3049      	MOVLW      73
0x000A	0x008F      	MOVWF      15
0x000B	0x3054      	MOVLW      84
0x000C	0x0090      	MOVWF      16
0x000D	0x3048      	MOVLW      72
0x000E	0x0091      	MOVWF      17
0x000F	0x304D      	MOVLW      77
0x0010	0x0092      	MOVWF      18
0x0011	0x3045      	MOVLW      69
0x0012	0x0093      	MOVWF      19
0x0013	0x3054      	MOVLW      84
0x0014	0x0094      	MOVWF      20
0x0015	0x3049      	MOVLW      73
0x0016	0x0095      	MOVWF      21
0x0017	0x3043      	MOVLW      67
0x0018	0x0096      	MOVWF      22
0x0019	0x3020      	MOVLW      32
0x001A	0x0097      	MOVWF      23
0x001B	0x304F      	MOVLW      79
0x001C	0x0098      	MOVWF      24
0x001D	0x3050      	MOVLW      80
0x001E	0x0099      	MOVWF      25
0x001F	0x303A      	MOVLW      58
0x0020	0x009A      	MOVWF      26
0x0021	0x019B      	CLRF       27
;Arithmetic.c,23 :: 		void main()
;Arithmetic.c,25 :: 		lcd_init();
0x0022	0x2202      	CALL       _Lcd_Init
;Arithmetic.c,26 :: 		lcd_cmd(_lcd_clear);
0x0023	0x3001      	MOVLW      1
0x0024	0x00BC      	MOVWF      FARG_Lcd_Cmd_out_char
0x0025	0x228E      	CALL       _Lcd_Cmd
;Arithmetic.c,27 :: 		lcd_cmd(_lcd_cursor_off);
0x0026	0x300C      	MOVLW      12
0x0027	0x00BC      	MOVWF      FARG_Lcd_Cmd_out_char
0x0028	0x228E      	CALL       _Lcd_Cmd
;Arithmetic.c,28 :: 		TRISA = 0x01;
0x0029	0x3001      	MOVLW      1
0x002A	0x1683      	BSF        STATUS, 5
0x002B	0x0085      	MOVWF      TRISA
;Arithmetic.c,29 :: 		LCD_OUT_cp("ARITHMETIC OP:");
0x002C	0x300D      	MOVLW      ?lstr1_Arithmetic
0x002D	0x00AE      	MOVWF      FARG_Lcd_Out_CP_text
0x002E	0x2384      	CALL       _Lcd_Out_CP
;Arithmetic.c,30 :: 		lcd_chr(2,1,'0');
0x002F	0x3002      	MOVLW      2
0x0030	0x00AE      	MOVWF      FARG_Lcd_Chr_row
0x0031	0x3001      	MOVLW      1
0x0032	0x00AF      	MOVWF      FARG_Lcd_Chr_column
0x0033	0x3030      	MOVLW      48
0x0034	0x00B0      	MOVWF      FARG_Lcd_Chr_out_char
0x0035	0x230A      	CALL       _Lcd_Chr
;Arithmetic.c,31 :: 		lcd_chr(2,5,'0');
0x0036	0x3002      	MOVLW      2
0x0037	0x00AE      	MOVWF      FARG_Lcd_Chr_row
0x0038	0x3005      	MOVLW      5
0x0039	0x00AF      	MOVWF      FARG_Lcd_Chr_column
0x003A	0x3030      	MOVLW      48
0x003B	0x00B0      	MOVWF      FARG_Lcd_Chr_out_char
0x003C	0x230A      	CALL       _Lcd_Chr
;Arithmetic.c,32 :: 		lcd_chr(2,7,'=');
0x003D	0x3002      	MOVLW      2
0x003E	0x00AE      	MOVWF      FARG_Lcd_Chr_row
0x003F	0x3007      	MOVLW      7
0x0040	0x00AF      	MOVWF      FARG_Lcd_Chr_column
0x0041	0x303D      	MOVLW      61
0x0042	0x00B0      	MOVWF      FARG_Lcd_Chr_out_char
0x0043	0x230A      	CALL       _Lcd_Chr
;Arithmetic.c,35 :: 		while(1)
L_main0:
;Arithmetic.c,37 :: 		if(PORTA.B0 == 0)
0x0044	0x1805      	BTFSC      PORTA, 0
0x0045	0x2874      	GOTO       L_main2
;Arithmetic.c,39 :: 		delay_ms(10);
0x0046	0x301A      	MOVLW      26
0x0047	0x00CC      	MOVWF      R12
0x0048	0x30F8      	MOVLW      248
0x0049	0x00CD      	MOVWF      R13
L_main3:
0x004A	0x0BCD      	DECFSZ     R13, 1
0x004B	0x284A      	GOTO       L_main3
0x004C	0x0BCC      	DECFSZ     R12, 1
0x004D	0x284A      	GOTO       L_main3
0x004E	0x0000      	NOP
;Arithmetic.c,40 :: 		if(PORTA.B0 == 1)
0x004F	0x1C05      	BTFSS      PORTA, 0
0x0050	0x2874      	GOTO       L_main4
